.START
..refdes	device	value	tolerance	comment	footprint	quantity
C1	CAPACITOR	4.7uF	20%	/	100mil	1
C11	POLARIZED_CAPACITOR	unknown	unknown	Neg supply only	unknown	1
C12	POLARIZED_CAPACITOR	unknown	unknown	Neg supply only	unknown	1
C13	POLARIZED_CAPACITOR	unknown	unknown	Neg supply only	unknown	1
C14	POLARIZED_CAPACITOR	unknown	unknown	Neg supply only	unknown	1
C15	CAPACITOR	2.2uF	20%	MLCC	2.54	1
C16	CAPACITOR	2.2uF	20%	MLCC	2.54	1
C17	CAPACITOR	2.2uF	20%	MLCC	2.54	1
C18	CAPACITOR	2.2uF	20%	MLCC	2.54	1
C19	CAPACITOR	2.2uF	20%	MLCC	2.54	1
C2	CAPACITOR	4.7uF	20%	/	100mil	1
C20	CAPACITOR	2.2uF	20%	MLCC	2.54	1
C21	CAPACITOR	2.2uF	20%	MLCC	2.54	1
C22	CAPACITOR	2.2uF	20%	MLCC	2.54	1
C23	POLARIZED_CAPACITOR	22uF	20%	tantale 50V	5.08	1
C24	POLARIZED_CAPACITOR	220uF	40%	aluminium 16V	2000mil	1
C25	POLARIZED_CAPACITOR	10uF	unknown	unknown	unknown	1
C26	POLARIZED_CAPACITOR	10uF	unknown	unknown	unknown	1
C27	CAPACITOR	1uF	unknown	unknown	unknown	1
C28	CAPACITOR	1uF	unknown	unknown	unknown	1
C29	CAPACITOR	1uF	unknown	unknown	unknown	1
C3	CAPACITOR	4.7uF	unknown	unknown	100mil	1
C30	CAPACITOR	1uF	unknown	unknown	unknown	1
C4	CAPACITOR	4.7uF	unknown	unknown	100mil	1
C5	CAPACITOR	4.7uF	unknown	unknown	100mil	1
C6	CAPACITOR	4.7uF	20%	/	100mil	1
CONN_ABCD_DATA	CONNECTOR_7	unknown	unknown	unknown	SIP7N	1
CONN_ABCD_POWER	CONNECTOR_7	unknown	unknown	unknown	SIP7N	1
CONN_CHAIN	CONNECTOR_6	/	/	/	SIP6N	1
CONN_CHAIN_NEXT	CONNECTOR_6	/	/	/	SIP6N	1
CONN_DISABLE	CONNECTOR_2	/	/	/	SIP2N	1
CONN_NO_N_S	CONNECTOR_2	unknown	unknown	Neg supply to ground	SIP2N	1
CONN_OUTPUT	CONNECTOR_3	/	/	/	SIP3N	1
CONN_POWER	CONNECTOR_8	/	/	/	SIP8N	1
CONN_POWER_NEXT	CONNECTOR_8	/	/	/	SIP8N	1
D10	DIODE	1N4148	unknown	unknown	300mil	1
D11	DIODE	BA158	/	/	400mil	1
D12	DIODE	BA158	/	Neg supply only	400mil	1
D13	DIODE	BA158	/	/	400mil	1
D3	DIODE	1N4148	unknown	unknown	300mil	1
D4	DIODE	1N4148	unknown	unknown	300mil	1
D5	DIODE	1N4148	unknown	unknown	300mil	1
D6	DIODE	1N4148	unknown	unknown	300mil	1
D7	DIODE	1N4148	unknown	unknown	300mil	1
D8	DIODE	1N4148	unknown	unknown	300mil	1
D9	DIODE	1N4148	unknown	unknown	300mil	1
LED1	LED	C503B-BCN	/	bleue	5.08	1
LED10	LED	C503B-ACN	/	amber	5.08	1
LED11	LED	C503B-RCN	/	red	5.08	1
LED12	LED	C503B-RCN	/	red	5.08	1
LED13	LED	C503B-WCN	/	white	5.08	1
LED2	LED	C503B-GCN	/	green	5.08	1
LED3	LED	C503B-ACN	/	amber	5.08	1
LED4	LED	C503B-GCN	/	green	5.08	1
